request_id,hour,pickup_zone,dropoff_zone,vehicle_tier,distance_km,duration_min,weather_condition,precipitation_mm_h,visibility_km,temperature_c,congestion_index,traffic_incidents,active_drivers,open_requests,dsr_ratio,rider_loyalty,subtotal_base_fare,weather_multiplier,traffic_multiplier,dsr_multiplier,time_multiplier,total_surge_multiplier,final_fare,driver_payout,platform_commission,acceptance_probability,is_accepted,is_capped
REQ-000001,3,DOWNTOWN,FINANCIAL_DISTRICT,XL,8.37,16.7,DRIZZLE,0.0,10.0,29.1,0.22,1,21,39,1.86,REGULAR,33.6,0.1,0.121,0.301,0.15,1.67,56.11,44.33,11.78,0.6346,1,0
REQ-000002,0,FINANCIAL_DISTRICT,TECH_CORRIDOR,COMFORT,13.68,30.0,RAIN,4.9,5.7,12.5,0.36,1,32,22,0.69,REGULAR,40.57,0.305,0.159,0.0,0.15,1.61,65.32,51.46,13.86,0.6673,1,0
REQ-000003,12,AIRPORT,DOWNTOWN,PREMIUM,15.94,50.4,CLEAR,0.0,10.0,12.9,0.4,0,12,15,1.25,REGULAR,95.47,0.0,0.058,0.087,0.0,1.15,109.79,83.77,26.02,0.8581,1,0
REQ-000004,11,DOWNTOWN,AIRPORT,STANDARD,11.88,28.9,CLEAR,0.0,10.0,14.6,0.33,0,48,31,0.65,REGULAR,27.96,0.0,0.027,0.0,0.0,1.03,28.8,21.68,7.12,0.8897,1,0
REQ-000005,17,SUBURB_NORTH,TECH_CORRIDOR,XL,27.73,74.8,CLEAR,0.0,10.0,13.8,0.43,0,33,44,1.33,REGULAR,109.11,0.013,0.074,0.116,0.25,1.45,158.21,123.57,34.64,0.7465,0,0
REQ-000006,20,TECH_CORRIDOR,AIRPORT,COMFORT,19.04,44.8,CLEAR,0.0,10.0,12.2,0.27,0,45,61,1.36,REGULAR,56.08,0.0,0.009,0.126,0.0,1.13,63.37,48.26,15.11,0.8639,0,0
REQ-000007,4,FINANCIAL_DISTRICT,TECH_CORRIDOR,STANDARD,21.65,65.1,DRIZZLE,0.0,10.0,26.4,0.08,0,41,42,1.02,PLATINUM,52.84,0.1,0.0,0.0,0.0,1.1,58.12,44.12,14.0,0.9405,1,0
REQ-000008,9,DOWNTOWN,FINANCIAL_DISTRICT,XL,21.98,50.0,CLEAR,0.0,10.0,17.3,0.79,0,19,74,3.89,PLATINUM,82.16,0.068,0.599,1.012,0.2,2.88,236.62,192.91,43.71,0.1806,0,0
REQ-000009,16,AIRPORT,FINANCIAL_DISTRICT,COMFORT,11.72,23.7,THUNDERSTORM,44.0,1.7,8.0,0.44,0,23,20,0.87,REGULAR,34.5,1.2,0.08,0.0,0.0,2.28,78.66,63.41,15.25,0.2866,0,0
REQ-000010,5,DOWNTOWN,AIRPORT,COMFORT,19.15,59.9,CLEAR,0.0,10.0,28.6,0.13,0,20,49,2.45,REGULAR,63.05,0.0,0.0,0.508,0.0,1.51,95.21,74.62,20.59,0.7183,1,0
REQ-000011,10,AIRPORT,TECH_CORRIDOR,PREMIUM,5.15,10.9,CLEAR,0.0,10.0,20.0,0.05,0,12,14,1.17,GOLD,31.69,0.0,0.0,0.0,0.0,1.0,31.69,23.77,7.92,0.9334,1,0
REQ-000012,18,FINANCIAL_DISTRICT,SUBURB_NORTH,PREMIUM,7.57,15.0,DRIZZLE,0.0,10.0,11.6,0.58,1,50,65,1.3,REGULAR,41.95,0.1,0.446,0.105,0.25,1.9,79.7,63.55,16.15,0.5,1,0
REQ-000013,3,DOWNTOWN,FINANCIAL_DISTRICT,STANDARD,12.47,28.4,CLEAR,0.0,10.0,10.1,0.22,0,12,66,5.5,GOLD,28.53,0.0,0.001,1.2,0.15,2.35,67.05,54.14,12.91,0.3543,0,0
REQ-000014,7,DOWNTOWN,FINANCIAL_DISTRICT,STANDARD,27.19,84.2,CLEAR,0.0,10.0,18.1,0.58,1,32,10,0.31,PLATINUM,66.46,0.0,0.445,0.0,0.2,1.65,109.66,86.56,23.1,0.8085,1,0
REQ-000015,17,SUBURB_NORTH,AIRPORT,PREMIUM,20.11,56.8,DRIZZLE,0.0,10.0,18.1,0.5,1,55,79,1.44,REGULAR,112.59,0.1,0.24,0.154,0.25,1.74,195.91,155.26,40.65,0.5948,1,0
REQ-000016,5,DOWNTOWN,TECH_CORRIDOR,COMFORT,3.48,8.7,CLEAR,0.0,10.0,6.8,0.21,0,45,15,0.33,REGULAR,14.15,0.04,0.0,0.0,0.0,1.04,14.72,11.1,3.62,0.8874,1,0
REQ-000017,7,TECH_CORRIDOR,AIRPORT,XL,7.31,20.5,CLEAR,0.0,10.0,8.5,0.61,0,8,68,8.5,REGULAR,33.65,0.0,0.359,1.2,0.2,2.76,92.87,75.57,17.3,0.1126,0,0
REQ-000018,11,DOWNTOWN,FINANCIAL_DISTRICT,COMFORT,15.15,30.1,HEAVY_RAIN,55.2,1.4,9.3,0.33,0,49,77,1.57,REGULAR,43.05,1.2,0.027,0.2,0.0,2.43,104.61,84.61,20.0,0.2189,0,0
REQ-000019,23,AIRPORT,DOWNTOWN,COMFORT,8.88,27.0,DRIZZLE,0.0,10.0,12.4,0.34,0,24,74,3.08,REGULAR,31.3,0.1,0.03,0.728,0.15,2.01,62.91,50.34,12.57,0.4344,0,0
REQ-000020,10,DOWNTOWN,FINANCIAL_DISTRICT,PREMIUM,23.56,43.9,RAIN,10.6,5.0,25.0,0.22,1,12,29,2.42,REGULAR,111.28,0.369,0.121,0.497,0.0,1.99,221.45,177.1,44.35,0.4462,0,0
REQ-000021,1,TECH_CORRIDOR,FINANCIAL_DISTRICT,PREMIUM,5.31,11.8,HEAVY_RAIN,28.4,1.1,7.8,0.4,0,17,40,2.35,GOLD,32.9,1.025,0.058,0.472,0.15,2.7,88.83,72.22,16.61,0.1915,0,0
